USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
Bracelet;Bracelet;s@Armband;;Armband;Armband;;Armbånd;Armbånd;Braccialetto;
ID Bracelet;ID Bracelet;s@ID-Armband;;ID Armband;ID-Armband;;ID Armbånd;ID Armbånd;Bracciale identificativo;
Name Bracelet;Name Bracelet;s@Namensarmband;;Naamarmband;Namnarmband ;;Navnearmbånd;Navnearmbånd;Bracciale con Nome;
Nameplate Bracelet;Nameplate Bracelet;s@Namensarmband;;Armband met Naamplaatje;Namnplatta Armband;;Armbånd med Navneplate;Armbånd med Navneplade;Bracciale con Targhetta;
Tennis Bracelet;Tennis Bracelet;s@Tennisarmband;;Tennis Armband;Tennisarmband;;Tennisarmbånd;Tennisarmbånd;Bracciale Tennis;
Leather Bracelet;Leather Bracelet;s@Lederarmband;;Lederen Armband ;Läderarmband;;Lærarmbånd;Læderarmbånd;Braccialetto in Pelle;
Braided Leather Bracelet;Braided Leather Bracelet;s@geflochtenes Lederarmband;;Gevlochten Lederen Armband ;Flätat Läderarmband;;Flettet Lærarmbånd;Flettet Læderarmbånd;Bracciale in pelle intrecciata;
Vegan-Leather Bracelet;Vegan-Leather Bracelet;s@veganes Lederarmband;;Vegan-Leren Armband;Veganläderarmband;;Vegansk Skinnarmbånd;Vegansk Læderarmbånd;Bracciale in pelle vegana;
Wrap Bracelet;Wrap Bracelet;s@Wickelarmband;;Wikkelarmband;;;Wrap Armbånd;Wrap Armbånd;Bracciale avvolgente;
Double Wrap Bracelet;Double Wrap Bracelet;s@Doppelwickel-Armband;;Dubbele Wikkelarmband;;;Dobbelt Wrap Armbånd;Dobbelt Wrap Armbånd;Bracciale a doppio giro;
Leather Wrap Bracelet;Leather Wrap Bracelet;s@Wickel-Lederarmband;;Lederen Wikkelarmband;;;Wrap Lærarmbånd;Wrap Læderarmbånd;Bracciale avvolgente in pelle;
Leather Double Wrap Bracelet;Leather Double Wrap Bracelet;s@Doppelwickel-Lederarmband;;Lederen Dubbele Wikkelarmband;;;Dobbelt Wrap Lærarmbånd;Dobbelt Wrap Læderarmbånd;Bracciale in pelle a doppio giro;
Carabiner Bracelet;Carabiner Bracelet;s@Karabiner-Armband;;Karabijn Armband;;;Armbånd med Karabinkrok;Armbånd med Karabinhage;Bracciale moschettone;
Cord Bracelet;Cord Bracelet;s@Kordel-Armband;;Koordarmband;Snörearmband;;Snorarmbånd;Snørearmbånd;Bracciale in corda;
Layered Bracelet;Layered Bracelet;s@Layering Armband;;Gelaagde Armband;Lager på Lager Armband;;Lag på Lag Armbånd;Lag-på-Lag Armbånd;Bracciale a strati;
Paperclip Chain Link Bracelet;Paperclip Chain Link Bracelet;s@Gliederarmband;;Schakelarmband;Länkarmband;;Lenkearmbånd;Link Armbånd;Bracciale con catena a maglie con graffetta;
Link Bracelet;Link Bracelet;s@Gliederarmband;;Schakelarmband;Länkarmband;;Lenkearmbånd;Link Armbånd;Bracciale a maglie;
Cuban Chain Bracelet;Cuban Chain Bracelet;s@Kubanisches Armband;;Cubaanse Armband;Kubansk Länkarmband;;Cubansk Lenkearmbånd;Cubansk Link Armbånd;Bracciale a catena cubana;
Disc Bracelet;Disc Bracelet;s@Disk-Armband;;Disk Armband;;;Disc Armbånd;Diskarmbånd;Bracciale a disco;
Charm Bracelet;Charm Bracelet;s@Bettelarmband;;Bedelarmband;;;Charm Armbånd;Charm Armbånd;Bracciale con ciondoli;
Bead Bracelet;Bead Bracelet;s@Bead Armband;;Kralenarmband;;;;Armbånd;Bracciale con perline;
Beaded Bracelet;Beaded Bracelet;s@Perlenarmband;;Kralenarmband;;;;Perlearmbånd;Bracciale con perline;
Pearl Bracelet;Pearl Bracelet;s@Perlenarmband;;Parelarmband;Pärlarmband;;Perlearmbånd;Perlearmbånd;Bracciale di perle;
Adjustable Bracelet;Adjustable Bracelet;s@Verstellbares Armband;;Verstelbare Armband;Justerbart Armband;;Justerbart Armbånd;Justerbart Armbånd;Bracciale regolabile;
Heart Bracelet;Heart Bracelet;s@Herzarmband;;Hartjes Armband;Hjärtarmband;;Hjertearmbånd;Hjertearmbånd;Bracciale a cuore;
Russian Ring Bracelet;Russian Ring Bracelet;s@Russisches Ring-Armband ;;Russische Ring Armband;Ryskt Ringarmband;;Russisk Ringarmbånd;Russisk ringarmbånd;Bracciale con anello alla russa;
Initial Bracelet;Initial Bracelet;s@Initial Armband;;Initiaal Armband;Bokstavsarmband;;Armband med Initial;Initialarmbånd;Bracciale con Iniziale;
Letter Bracelet;Letter Bracelet;s@Armband mit Buchstaben;;Letterbedels Armband;Bokstavsarmband;;Armbånd med Bockstav;Bogstavsarmbånd;Bracciale con lettere;
Birthstone Bracelet;Birthstone Bracelet;s@Geburtsstein-Armband;;Armband met Geboortesteen;Månadssten-Armband;;Månadssten-Armband;Fødselsstensarmbånd;Bracciale con pietre portafortuna;
Diamond Bracelet;Diamond Bracelet;s@Diamant-Armband;;Diamanten Armband;Diamantarmband;;Diamantarmbånd;Diamantarmbånd;Bracciale con diamanti;
Mom Bracelet;Mum Bracelet;s@Mama-Armband;;Mama Armband;Mamma Armband;;Mamma-Armbånd;Morarmbånd;Bracciale mamma;
Mother's Bracelet;Mother's Bracelet;s@Mutterarmband;;Mama Armband;Mamma Armband;;Morsarmbånd;Morarmbånd;Bracciale della Mamma;
Men's Bracelet;Men's Bracelet;s@Herrenarmband;;Herenarmband;Herrarmband;;Herrearmbånd;Herrearmbånd;Bracciale da uomo;
