USA / CA;AU / IE / UK;DE / CH;FR;NL;SE;ES/MX;NO;DK;IT;FI
;;;;;;;;;;
With Diamond;With Diamond;mit Diamant;avec Diamant;met Diamant;med Diamant;con Diamante;med Diamant;med Diamant;con Diamante;timantilla
With Diamonds;With Diamonds;mit Diamanten;avec Diamants;met Diamanten;med Diamanter;con Diamantes;med Diamanter;med Diamanter;con Diamanti;timanteilla
With Black Diamond;With Black Diamond;mit schwarzem Diamant;avec Diamant Noir;met Zwarte Diamant;med Svart Diamant;con Diamante Negro;med Svart Diamant;med Sort Diamant;con Diamante Nero;mustalla timantilla
With Black Diamonds;With Black Diamonds;mit schwarzen Diamanten;avec Diamants Noirs;met Zwarte Diamanten;med Svarta Diamanter;con Diamantes Negros;med Svarte Diamanter;med Sorte Diamanter;con Diamanti Neri;mustilla timanteilla
With Birthstone;With Birthstone;mit Geburtsstein;avec Pierre de Naissance;met Geboortesteen;med Månadssten;con Piedra de Nacimiento;med Fødselsstein;med Fødselssten;con Pietra Portafortuna;syntymäkivellä
With Birthstones;With Birthstones;mit Geburtssteinen;avec Pierres de Naissance;met Geboortestenen;med Månadsstenar;con Piedras de Nacimiento;med Fødselssteiner;med Fødselsstenene;con Pietre Portafortuna;syntymäkivillä
With Cubic Zirconia;With Cubic Zirconia;mit kubischen Zirkonia;Avec Zircon Cubique ;met Zirkonia;med Cubic Zirkonia;con Zirconia Cúbica ;med Cubic Zirkonia;med Kubisk Zirkonia;con Zirconi Cubici ;cubic zirkonilla
With Black Cubic Zirconia;With Black Cubic Zirconia;mit schwarzen Zirkonia;Avec Zircon Cubique Noir;met Zwarte Zirkonia;med Svart Cubic Zirkonia;con Zirconia Cúbica Negra;med Svart Cubic Zirkonia;med Sort Kubisk Zirkonia;con Zirconi Cubici Neri;mustalla cubic zirkonilla
With Semi-Precious Stone;With Semi-Precious Stone;mit Halbedelstein;avec Pierre Semi-Précieuse;met Halfedelsteen;med Halvädelsten;con Piedra Semipreciosa;med Halvedelsten;med Halvædelsten;con Pietra Semipreziosa;puolijalokivellä
With Semi-Precious Stones;With Semi-Precious Stones;mit Halbedelsteinen;avec Pierres Semi-Précieuses;met Halfedelstenen;med Halvädelstenar;con Piedras Semipreciosas;med Halvedelstener;med Halvædelsten;con Pietre Semipreziose;puolijalokivillä
With Gemstone  ;With Gemstone  ;mit Edelstein;avec Pierre Précieuse;met Edelsteen;med Ädelsten;con Piedra Preciosas;med Edelsten;med Ædelsten;con Pietra Preziosa;jalokivellä
With Gemstones;With Gemstones;mit Edelsteinen;avec Pierres Précieuses;met Edelstenen;med Ädelstenar;con Piedras Preciosas;med Edelstener;med Ædelsten;con Pietre Preziose;jalokivillä
With Pearl;With Pearl;mit Perle;avec Perle;met Parel;med Pärla;con Perla;med Perle;med Perle;con Perla;helmet
